Index,Gr Liv Area,SalePrice
1,1550,241000
2,1624,262000
3,1484,175000
4,1044,55993
5,1324,160000
6,1124,153000
7,1644,167000
8,1310,285000
9,1728,84900
10,1191,162500
11,1358,207000
12,2640,256900
13,1427,183000
14,1670,240000
15,1558,140000
16,846,106000
17,1662,291000
18,1802,218000
19,1576,149000
20,1920,137000
21,1072,148000
22,2520,310000
23,1492,169985
24,1500,190000
25,904,119000
26,1342,161500
27,1074,124000
28,1327,150750
29,925,135000
30,1737,175000
31,2007,310000
32,1624,146500
33,2032,300000
34,1920,172500
35,858,134900
36,972,122500
37,780,124900
38,1110,165500
39,1370,148000
40,1743,335000
41,1504,191000
42,1456,137900
43,1775,213000
44,1664,213000
45,1226,211500
46,1433,270000
47,1183,120000
48,2177,215000
49,2090,207500
50,1633,183000
51,1504,199000
52,1839,221000
53,1113,147000
54,1827,202500
55,894,141500
56,1142,93000
57,2009,150000
58,832,105500
59,2630,315000
60,967,99900
61,1092,88000
62,1728,142600
63,1564,267300
64,1288,245500
65,1416,139900
66,1049,80900
67,1488,167000
68,1217,173000
69,1145,127000
70,1350,165000
71,1714,180000
72,1032,116500
73,1680,177000
74,848,144500
75,1527,152500
76,1634,250000
77,912,125000
78,971,128500
79,1930,192000
80,1553,178750
81,1302,158000
82,1464,175000
83,1358,204000
84,1764,207000
85,788,155000
86,1679,193500
87,1844,223000
88,670,64000
89,1114,140000
90,1436,155000
91,1551,137000
92,789,115000
93,1230,121600
94,1600,207500
95,1224,173733
96,1456,148500
97,1620,152000
98,1675,181000
99,796,85000
100,1666,135000
101,2020,239500
102,1494,279500
103,1707,184000
104,945,119500
105,1648,230000
106,1980,315000
107,1092,141000
108,1525,183500
109,1962,149500
110,1232,162500
111,1040,152000
112,1324,199500
113,1661,165500
114,1343,154900
115,1214,105000
116,990,145000
117,2052,251000
118,2559,209000
119,1150,141000
120,1989,255000
121,1250,164700
122,2183,229000
123,1148,132500
124,1716,191000
125,1252,235000
126,1242,105000
127,1355,140000
128,1142,156820
129,1224,165000
130,1117,136870
131,1234,179900
132,1043,137000
133,1936,230500
134,1559,153500
135,1603,175900
136,1112,144800
137,789,96500
138,1430,170000
139,1143,138000
140,1178,135000
141,1041,124500
142,1150,146000
143,1964,252000
144,1132,134000
145,968,100000
146,1673,270000
147,2601,189000
148,825,125000
149,1872,241500
150,1788,236500
151,1328,170000
152,1032,108000
153,1665,205950
154,1646,275000
155,1691,127000
156,1497,157000
157,1714,196500
158,1647,128000
159,1120,64000
160,970,132500
161,816,110000
162,1959,270000
163,1652,325000
164,1988,227000
165,2526,136000
166,747,79900
167,790,91000
168,1707,228000
169,1576,223500
170,1442,179900
171,1337,177000
172,1656,249700
173,1350,146000
174,2054,244000
175,1235,214000
176,1166,190000
177,773,110000
178,1521,146500
179,1470,135000
180,848,140000
181,1456,184000
182,1117,107000
183,1073,157000
184,1626,155000
185,1042,161000
186,948,125000
187,1501,165600
188,1670,336820
189,1273,121000
190,1146,187500
191,1575,284000
192,1362,207000
193,1012,127500
194,1052,155000
195,1342,125000
196,1632,143000
197,1308,175000
198,1044,139000
199,1474,168500
200,1930,149000
